資料序,季節,組別,date,Soil temperture,Soil  water content,ndvi,Relative humidity,Wind speed,Insolation,Temperature,Wind direction,Rainfall ,River flat area,PM10MAX,PM2.5,dustday
1837,濕季,,2015/6/11,s7,s5,s4,s1,s1,s7,s6,s3,s1,s5,s2_25_50,19,0
1838,濕季,,2015/6/12,s7,s6,s4,s2,s1,s7,s6,s3,s1,s5,s2_25_50,18,0
1839,濕季,,2015/6/13,s7,s5,s4,s1,s1,s7,s6,s3,s1,s5,s2_25_50,15,0
1840,濕季,,2015/6/14,s7,s4,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,18,0
1841,濕季,,2015/6/15,s7,s4,s4,s2,s1,s7,s6,s3,s1,s5,s2_25_50,17,0
1842,濕季,,2015/6/16,s7,s3,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,20,0
1843,濕季,,2015/6/17,s7,s3,s4,s1,s2,s7,s6,s2,s1,s5,s2_25_50,16,0
1844,濕季,,2015/6/18,s7,s3,s4,s1,s2,s3,s6,s2,s1,s5,s3_50_75,21,0
1845,濕季,,2015/6/19,s7,s1,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,20,0
1846,濕季,,2015/6/20,s7,s1,s4,s4,s1,s7,s6,s1,s1,s5,s2_25_50,19,0
1847,濕季,,2015/6/21,s7,s1,s4,s3,s1,s7,s6,s4,s1,s5,s2_25_50,19,0
1848,濕季,,2015/6/22,s7,s3,s4,s3,s1,s3,s6,s2,s2,s5,s2_25_50,18,0
1849,濕季,,2015/6/23,s7,s7,s4,s6,s1,s3,s6,s2,s6,s5,s2_25_50,7,0
1850,濕季,,2015/6/24,s7,s6,s4,s4,s1,s7,s6,s2,s1,s5,s2_25_50,9,0
1851,濕季,,2015/6/25,s7,s5,s4,s1,s2,s7,s6,s3,s1,s5,s2_25_50,13,0
1852,濕季,,2015/6/26,s7,s4,s4,s1,s4,s7,s6,s3,s1,s5,s4_75_100,16,0
1853,濕季,,2015/6/27,s7,s3,s4,s1,s4,s7,s6,s2,s1,s5,s2_25_50,21,0
1854,濕季,,2015/6/28,s7,s3,s4,s1,s3,s7,s6,s2,s1,s5,s3_50_75,25,0
1855,濕季,,2015/6/29,s7,s2,s4,s1,s1,s7,s6,s2,s2,s5,s2_25_50,22,0
1856,濕季,,2015/6/30,s7,s1,s4,s1,s4,s7,s6,s3,s1,s5,s2_25_50,18,0
1857,濕季,,2015/7/1,s7,s1,s4,s1,s4,s7,s6,s3,s1,s5,s3_50_75,23,0
1858,濕季,,2015/7/2,s7,s1,s4,s1,s2,s3,s6,s2,s1,s5,s3_50_75,31,0
1859,濕季,,2015/7/3,s7,s1,s4,s2,s1,s2,s6,s2,s1,s5,s3_50_75,22,0
1860,濕季,,2015/7/4,s7,s1,s4,s4,s1,s7,s6,s1,s1,s5,s3_50_75,35,0
1861,濕季,,2015/7/5,s7,s1,s4,s5,s1,s2,s6,s4,s1,s5,s3_50_75,21,0
1862,濕季,,2015/7/6,s7,s1,s4,s5,s1,s2,s6,s4,s1,s5,s3_50_75,18,0
1863,濕季,,2015/7/7,s7,s1,s4,s6,s1,s2,s6,s4,s4,s5,s3_50_75,50,0
1864,濕季,,2015/7/8,s7,s1,s4,s6,s1,s1,s6,s4,s1,s5,s4_75_100,33,0
1865,濕季,,2015/7/9,s7,s1,s4,s5,s1,s4,s6,s1,s1,s5,s3_50_75,28,0
1866,濕季,,2015/7/10,s7,s5,s4,s6,s1,s2,s6,s1,s5,s5,s4_75_100,15,0
1867,濕季,,2015/7/11,s7,s4,s4,s2,s4,s2,s6,s3,s1,s5,s3_50_75,24,0
